timestamp,task,difficulty,model,llm,hidden_dim,num_layers,lpe_dim,epochs,learning_rate,accuracy,correct,total
2025-11-30 12:01:48.874243,CONNECTED,easy,GIN,google/gemma-3-1b-it,64,3,4,1,0.001,0.3,30,100
2025-11-30 12:03:33.963442,CONNECTED,easy,GAT,google/gemma-3-1b-it,64,3,4,1,0.001,0.33,33,100
2025-11-30 12:05:18.423012,CONNECTED,easy,GCN,google/gemma-3-1b-it,64,3,4,1,0.001,0.28,28,100
2025-11-30 12:06:53.315085,CONNECTED,hard,GIN,google/gemma-3-1b-it,64,3,4,1,0.001,0.06,6,100
2025-11-30 13:26:37.529032,CONNECTED,easy,GIN,google/gemma-3-4b-it,64,3,4,20,0.001,0.24,24,100
2025-11-30 13:35:54.888390,CONNECTED,easy,GAT,google/gemma-3-4b-it,64,3,4,20,0.001,0.15,15,100
2025-11-30 13:45:32.330474,CONNECTED,easy,GCN,google/gemma-3-4b-it,64,3,4,20,0.001,0.13,13,100
2025-11-30 13:55:02.172397,CONNECTED,hard,GIN,google/gemma-3-4b-it,64,3,4,20,0.001,0.1,10,100
2025-11-30 14:04:38.264788,CONNECTED,hard,GAT,google/gemma-3-4b-it,64,3,4,20,0.001,0.12,12,100
2025-11-30 14:13:43.691195,CONNECTED,hard,GCN,google/gemma-3-4b-it,64,3,4,20,0.001,0.22,22,100
2025-11-30 14:23:40.116978,MVC,easy,GIN,google/gemma-3-4b-it,64,3,4,20,0.001,0.19,19,100
2025-11-30 14:33:44.256477,MVC,easy,GAT,google/gemma-3-4b-it,64,3,4,20,0.001,0.36,36,100
2025-11-30 14:43:47.646490,MVC,easy,GCN,google/gemma-3-4b-it,64,3,4,20,0.001,0.33,33,100
2025-11-30 14:53:47.751429,MVC,hard,GIN,google/gemma-3-4b-it,64,3,4,20,0.001,0.09,9,100
2025-11-30 15:03:51.059264,MVC,hard,GAT,google/gemma-3-4b-it,64,3,4,20,0.001,0.09,9,100
2025-11-30 15:13:49.671073,MVC,hard,GCN,google/gemma-3-4b-it,64,3,4,20,0.001,0.09,9,100
2025-11-30 15:23:13.239366,MIS,easy,GIN,google/gemma-3-4b-it,64,3,4,20,0.001,0.08,8,100
2025-11-30 15:32:36.801146,MIS,easy,GAT,google/gemma-3-4b-it,64,3,4,20,0.001,0.19,19,100
2025-11-30 15:41:38.342897,MIS,easy,GCN,google/gemma-3-4b-it,64,3,4,20,0.001,0.11,11,100
2025-11-30 15:50:45.899569,MIS,hard,GIN,google/gemma-3-4b-it,64,3,4,20,0.001,0.04,4,100
2025-11-30 16:00:20.450182,MIS,hard,GAT,google/gemma-3-4b-it,64,3,4,20,0.001,0.04,4,100
2025-11-30 16:09:15.274456,MIS,hard,GCN,google/gemma-3-4b-it,64,3,4,20,0.001,0.09,9,100
